Usuario,City,User items,Item title,Item description,Item views,Size,Brand,Status,Price,Color,Likes
lutruu18,,3,Sandalias de tacón de Stradivarius,Sin estrenar. Tacón de 8 cm,470,38,Stradivarius,Nuevo con etiquetas,"15,00 €",2,57
alba8689,Valls,2,Bambas Nike basquet.,"Usado dos veces, talla 39.
Me costaron 50 €.",168,39,Nike,Muy bueno,"25,00 €",1,3
sofiarecuero,,1,"Vans talla 38,5 (US women 8)","Con muy poco uso, bien conservadas.Colores rosa y gris.

Talla 38,5 ( US women 8; US men 6,5)",136,38.5 ,Vans,Muy bueno,"19,00 €",3,2
sonia11885,,2,Vestido desigual ,Poco usado,809,M / 38 / 10,Desigual,Muy bueno,"10,00 €",1,26
miguel245r,,1,Zapatillas Nike Air Max 200,"No las he usado, las vendo porque no son de mi talla",494,42,Nike,Nuevo con etiquetas,"80,00 €",12,21
algabavaldivielso,,3,Nike Air Force I blancas,"Nuevas sin estrenar, con su caja original ",2201,38.5 ,Nike,Nuevo sin etiquetas,"70,00 €",12,305
nojcnoparty,San Sebastian De Los Reyes,40,IKEA Virgil Abloh,Exclusiva bolsa ,58,,Off-White,Nuevo con etiquetas,"18,00 €",2,1
rosi171114,,2,Top de punto,Top de punto blanco a estrenar. Talla M.,1261,M / 38 / 10,Bershka,Nuevo con etiquetas,"5,00 €",12,237
manucondee,,1,DC Heaven - by Dennis Mcgrath nuevos sin estrenar,"Zapatos que salieron de una colección de DC con Dennis Mcgrath, fotógrafo profesional de skaters.
Talla: 44
Precio original de los zapatos: 95 €
Nuevos con etiqueta, sin usar ni una vez",53,44,DC,Nuevo con etiquetas,"25,00 €",1,0
mentasonrisas,,3,Ultraboost uncaged 9us,"usadas pero con mucha vida por delante. No bajo el precio, por menos me las quedo para ir a por amapolas al campo.",927,42.5,Adidas,Bueno,"24,99 €",12,30
mlaurah,Castilleja de la Cuesta,1,Sandalias planas Mango,"Preciosas sandalias planas nro 36 en color natural con detalle de caracolas. Son de Mango y tienen sólo 2 posturas, me quedan pequeñas. ",571,36,Mango,Muy bueno,"8,00 €",4,73
paulaatejido,,1,Vestido flecos negros y lentejuelas Zara,"Nunca puesto, ajusta, la talla no cede mucho",588,S / 36 / 8,Zara,Nuevo con etiquetas,"10,00 €",1,28
albanta2,Las Rozas de Madrid,2,Sandalias sin estrenar de MaryPaz,"Sandalias con perdería  sin estrenar, talla 39",212,39,Marypaz,Nuevo con etiquetas,"8,00 €",4,12
tiiito21,,1,Camiseta Blanca Pitbull Supreme,"Nuevo, comprado en la web oficial de supremenewyork.com ",377,M,Supreme,Nuevo con etiquetas,"69,00 €",12,10
sergio98629,,3,Camiseta Kelme,"La vendo por que me queda pequeña, talla xs. 
Esta nueva",76,XS,KELME,Nuevo sin etiquetas,"7,00 €",1,0
sergio98629,,3,Camiseta Kelme,"La vendo por que me queda pequeña, talla xs. 
Esta nueva",76,XS,KELME,Nuevo sin etiquetas,"7,00 €",1,0
irenebarry,,3,Chaleco vaquero de Bershka ,"usado una vez, talla S, está nuevo! ",277,S / 36 / 8,Bershka,Nuevo sin etiquetas,"2,50 €",26,21
elenaim21,,3,Pantalón de cuadros Zara,"Pantalón recto de cuadros de Zara. Es nuevo, tiene la etiqueta. La talla da para 34-36. ",371,XS / 34 / 6,Zara,Nuevo con etiquetas,"15,00 €",1,43
karensanchezx2,,1,Sandalias plataforma,"Muy poco usadas. 
Talla 39. 
",712,39,Coolway,Muy bueno,"8,00 €",1,43
flak.13,Madrid,1,"Pantalón  corto vaquero ""BLANCO""","Probado una sola vez por regalo , daba más talla de la que tenía la persona, es una talla 36 pero súper bonitos y conjuntables de mil formas!! Está en perfecto estado sin uso nada más que solo el uso del día en que se probó...",112,S / 36 / 8,Blanco,Nuevo sin etiquetas,"5,00 €",9,2
ramcab,Andalucía,20,Oferta en armario,haz tu oferta ,93,S / 36 / 8,,Nuevo sin etiquetas,"1,00 €",15,0
maria_p98,,2,Top deporte Oh Polly,"Crop top elástico para deporte o vestir de la marca Bo and tee (linea deportiva de la marca Oh Polly).
Talla M. Sin estrenar. Precio original 32€ (+gastos de envio). Lo vendo a 25€",521,M / 38 / 10,Oh polly,Nuevo con etiquetas,"25,00 €",5,51
