Usuario,City,User items,Item title,Item description,Item views,Size,Brand,Status,Price,Color,Likes
alazne87,Castro Urdiales,53,Gafas ray ban ,"gafas ray ban negras
",108,,Ray-Ban,Muy bueno,"20,00 €",1,11
anabelaserrano,Murcia,5,Botines negros ,Botines negros tacón T. 38,35,38,Sin Marca,Nuevo con etiquetas,"6,00 €",1,1
sara_1602,Badalona,2,Falda del Bershka,"Falda con un color como granate. Utilizada muy pocas veces pero esta como nueva, la talla es la S",35,S / 36 / 8,Bershka,Muy bueno,"5,00 €",23,9
tiby30,,2,Botas cortas Carolina boix ,botas de tacón fino nuevas  son talla 35 ,50,35,Carolina Boix,Nuevo con etiquetas,"10,00 €",1,5
patito224,Alcala De Henares,8,Chanclas Bimba y Lola,Chanclas talla 40 de Bimba y Lola. Sin estrenar.,129,40,Bimba y Lola,Nuevo sin etiquetas,"20,00 €",1,19
leirecaballero,Vitoria-Gasteiz,6,Blusa blanca,Talla única ,0,Talla única,Desconocida,Nuevo sin etiquetas,"3,00 €",12,0
juhebe210,Barcelona,2,Black Smooth Mujer de Dr. Martens Originales ,"Zapatos originales Dr. Martens para mujer, bajos, con 1 sóla puesta de prueba. Viene con etiqueta y con la caja original. 
Compradas en Junio de 2020.
Precio original de compra 150€
Se vende por no hacerle uso. ",100,39,Dr. Martens,Nuevo con etiquetas,"100,00 €",1,21
sara_1602,Badalona,2,Falda del Bershka,"Falda con un color como granate. Utilizada muy pocas veces pero esta como nueva, la talla es la S",35,S / 36 / 8,Bershka,Muy bueno,"5,00 €",23,9
tiby30,,2,Botas cortas Carolina boix ,botas de tacón fino nuevas  son talla 35 ,50,35,Carolina Boix,Nuevo con etiquetas,"10,00 €",1,5
patito224,Alcala De Henares,8,Chanclas Bimba y Lola,Chanclas talla 40 de Bimba y Lola. Sin estrenar.,129,40,Bimba y Lola,Nuevo sin etiquetas,"20,00 €",1,19
leirecaballero,Vitoria-Gasteiz,6,Blusa blanca,Talla única ,0,Talla única,Desconocida,Nuevo sin etiquetas,"3,00 €",12,0
juhebe210,Barcelona,2,Black Smooth Mujer de Dr. Martens Originales ,"Zapatos originales Dr. Martens para mujer, bajos, con 1 sóla puesta de prueba. Viene con etiqueta y con la caja original. 
Compradas en Junio de 2020.
Precio original de compra 150€
Se vende por no hacerle uso. ",100,39,Dr. Martens,Nuevo con etiquetas,"100,00 €",1,21
nuria131313,,23,Falda LOIS,Falda en color gris talla 34,2,XS / 34 / 6,Lois,Muy bueno,"7,00 €",3,0
maria._.j,Barcelona,4,Camiseta corta de Pokémon de Bershka,"Usado un par de veces. 
Aún falta por lavar",22,S / 36 / 8,Bershka,Muy bueno,"5,00 €",1,4
anabelaserrano,Murcia,5,Sandalias tacón ,"Sandalias rojas de ante, tacón 13cm",25,37,Buonarotti,Nuevo sin etiquetas,"6,00 €",7,0
mredondo,Sabadell,24,Mono largo de zara,Mono largo nuevo con espalda descubierta,65,M / 38 / 10,Zara,Nuevo con etiquetas,"12,00 €",10,7
fradimeo,Barcelona,8,Bambas de Zara 44,"Bambas de Zara pagadas 49,95€ el verano pasado, en bueno estado , en condiciones 7/10.  Hay solo que limpiar la parte trasera de la zapatillas ",8,44,Zara,Bueno,"7,00 €",12,0
anabelaserrano,Murcia,5,Zapatos tacón verdes Mia Rock,"Zapatos verdes de tacón con tachuelas verdes Mia Rock T. 38 con caja original, y tapas de repuesto, en buen estado, usados una vez. ",11,38,Mia Rock,Nuevo con etiquetas,"12,00 €",30,2
leirecaballero,Vitoria-Gasteiz,6,Top granate,Stradivarius. Talla M.,51,M / 38 / 10,Stradivarius,Nuevo sin etiquetas,"2,00 €",23,13
angelapitarch,Sant Joan De Moro,18,Vestido rayas verdes y blancas,Sin utilizar,37,L / 40 / 12,Bershka,Nuevo con etiquetas,"7,00 €",10,8
manu7203,,1,Zapatillas Jordan ,Usado una vez talla 41 ,55,41,Jordan,Nuevo sin etiquetas,"70,00 €",1,1
paulauri19,Madrid,34,Pendientes Aristocrazy ,Pendientes Plata Corona. ,36,,Aristocrazy,Nuevo con etiquetas,"20,00 €",3,1
carol286,,129,Gafas de sol Hawkers,"Originales
Cristal amarillo y montura marrón (estilo animal print)
Polarizadas
El cristal tiene unas pequeñas rayas pero no afectan a como se ve a través del cristal
Por lo demás la montura está perfecta. ",11,,hawkers,Bueno,"9,00 €",2,0
claudia882006,,3,Americana  hombre ,Solo una vez utilizado,18,S,zarra,Nuevo sin etiquetas,"8,00 €",27,3
pepedr,Córdoba,1,"Chanclas adidas a estrenar, num 42","chanclas color verde botella, sin usar, número 42.",62,42,Adidas,Nuevo sin etiquetas,"20,00 €",28,11
noelialopez333,,4,Cosita de rallas,Tiene dos tiras para hacer un nudo debajo del todo,5,XS,Bershka,Bueno,"2,00 €",12,0
leirecaballero,Vitoria-Gasteiz,6,Crop top de Bershka,Top verde caqui de talla M.,46,M / 38 / 10,Bershka,Nuevo sin etiquetas,"2,00 €",16,8
acapse,Castellon De La Plana/Castello De La Pla,41,Camiseta niña TucTuc 3 años,"Colección Arrecife, nueva",31,3 años / 92-98 cm,tuc tuc,Nuevo con etiquetas,"8,00 €",15,3
ismitagirl,Andalucía,141,Jeans zw premium 90’s full lenght in bay embellishment,"jeans tiro alto con cinco bolsillos. Bajo acabado sin costura. Detalle de flecos metálicos en costura de laterales, cierre frontal con cremay boton. color blanco talla 34
",248,XS / 34 / 6,Zara,Nuevo con etiquetas,"15,00 €",12,21
celiarb2711,Caceres,32,Pantalones cortos rotos,Nunca usado,15,M / 38 / 10,Denim Co,Nuevo sin etiquetas,"4,00 €",12,3
selenalasttra,,1,Vaquero Massimo Dutti ,"sin estrenar, talla 34",12,XS / 34 / 6,MASSIMO DUTTI,Nuevo sin etiquetas,"10,00 €",27,0
radikal,,1,Chaqueta Real Madrid,buen estado ,12,5 años / 104-110 cm,Real Madrid,Muy bueno,"6,00 €",1,0
cockito,Cacheiras,22,Vestido corto florecitas,"Vestido muy fresco corto de color negro con florecillas, puesto dos veces!!!",19,S / 36 / 8,Mango,Muy bueno,"6,00 €",1,1
paquyayalavaliente,Los Palacios y Villafranca,10,"Zapatos negros, talla 38 con una puesta, de Mari Paz.",Usado una vez talla bien,11,38,Mary Paz,Muy bueno,"6,00 €",1,0
palomabarraso,Gata,2,Blusa manga ancha,"Usado dos veces, en perfecto estado. Aunque sea una XL, da menos talla, es una L.",12,L / 40 / 12,Okeysi,Muy bueno,"4,00 €",23,0
claudiialorente,El Grau De Castello/Grao,10,Pantalones largos ,solo un uso,17,S / 36 / 8,Bershka,Nuevo sin etiquetas,"5,00 €",1,1
fcorra20,Albacete,5,New Balance 247,"Muy poco uso, talla 39",39,39,New Balance,Muy bueno,"20,00 €",1,3
palomabarraso,Gata,2,Top Zara,"En muy buen estado. Aunque sea una L, da poca talla.",51,L / 40 / 12,Zara,Muy bueno,"3,00 €",12,8
cockito,Cacheiras,22,Vestido verano,"Vestido de punto rosa chicle sin estrenar
Muy fresco para verano ",11,S / 36 / 8,Mango,Nuevo con etiquetas,"8,00 €",24,0
antoon2,,2,Sudadera de cremallera Adidas negra. ,"Sudadera Adidas talla l, buen estado ",415,L,Adidas,Bueno,"7,00 €",1,24
mireia0405,,8,Falda T38,"nueva, a estrenar 


",64,M / 38 / 10,Stradivarius,Nuevo con etiquetas,"10,00 €",9,5
kevinalvarez01,,2,Sudadera Champion roja ,"Sudadera de Champion color rojo, talla S.
Está totalmente nueva sin un solo uso con etiqueta, comprada y en la bolsa.",136,S,Champion,Nuevo con etiquetas,"30,00 €",7,29
sara81439,Alcala De Henares,95,Lonas de brillo mustang,Playeras de lona y lentejuelas mustang. Usadas en un par de ocasiones ,13,39,Mustang,Muy bueno,"5,00 €",1,4
paquyayalavaliente,Los Palacios y Villafranca,10,"Botines Zara piel flecos, nuevos a estrenar, sin etiquetas.r ","Botines Zara flecos, nuevos a estrenar, sin etiquetas talla 41.",22,41,Zara,Nuevo sin etiquetas,"8,00 €",1,2
carol198516,,1,Bozar adiestrar de perro ,Bozar perro sin usar nuevo ,13,,,Nuevo sin etiquetas,"3,00 €",1,0
rgalcar,Almería,2,"Pantalón de chándal corto, talla xL ",usado una vez y es elástico ,16,XL / 42 / 14,Sin Marca,Muy bueno,"3,00 €",7,3
marikilla100987,Barcelona,11,TomTom One,"En buen estado, se vende por no usar. mapas de España y Europa.  la ventosa está del sol gastada, en fotos pongo alguna opción de compra para cambiarla.",3,,Tom Tom,Muy bueno,"15,00 €",1,0
frannavar,Badajoz,1,Pantalon gasa con forro ,Pantalon de gasa con forro negro ,104,XXXL / 46 / 18,Elena Miro,Nuevo con etiquetas,"10,00 €",1,3
inees.sj,Torrelodones,19,Mono negro abierto.,En perfecto estado. Es de pantalón corto. En caso de estar interesadx se pueden pedir más fotos ya que no se aprecian muy bien los detalles.,2,XS / 34 / 6,Easy Wear,Muy bueno,"4,00 €",1,0
inees.sj,Torrelodones,19,Mono de rayas de Bershka.,Usado dos veces. Perfecto estado.,12,S / 36 / 8,Bershka,Muy bueno,"4,00 €",1,2
ainara2424,,2,Pantalones Nike Chándal,"Usado tres veces,talla M 10 12 años ",186,M,Nike,Muy bueno,"5,00 €",3,31
letiares1994,Ponferrada,3,Top de Zara,Usado de una vez. Queda ajustado al cuerpo,751,M / 38 / 10,Zara,Muy bueno,"4,00 €",2,63
inees.sj,Torrelodones,19,Sudadera fosforita GAP,"Usada muy poco. En perfecto estado.
Original Americana.",17,XS / 34 / 6,GAP,Muy bueno,"4,00 €",11,3
diana.kz,,1,Riñonera ,Como nuevo ,20,,no tiene,Muy bueno,"5,00 €",1,2
anabelminfer,,3,Camiseta con encaje en los hombros de Stradivarius ,Usado una vez,24,M / 38 / 10,Stradivarius,Nuevo sin etiquetas,"2,00 €",4,4
carol198516,,1,Bozar adiestrar de perro ,Bozar perro sin usar nuevo ,13,,,Nuevo sin etiquetas,"3,00 €",1,0
rgalcar,Almería,2,"Pantalón de chándal corto, talla xL ",usado una vez y es elástico ,16,XL / 42 / 14,Sin Marca,Muy bueno,"3,00 €",7,3
marikilla100987,Barcelona,11,TomTom One,"En buen estado, se vende por no usar. mapas de España y Europa.  la ventosa está del sol gastada, en fotos pongo alguna opción de compra para cambiarla.",3,,Tom Tom,Muy bueno,"15,00 €",1,0
frannavar,Badajoz,1,Pantalon gasa con forro ,Pantalon de gasa con forro negro ,104,XXXL / 46 / 18,Elena Miro,Nuevo con etiquetas,"10,00 €",1,3
inees.sj,Torrelodones,19,Mono negro abierto.,En perfecto estado. Es de pantalón corto. En caso de estar interesadx se pueden pedir más fotos ya que no se aprecian muy bien los detalles.,2,XS / 34 / 6,Easy Wear,Muy bueno,"4,00 €",1,0
inees.sj,Torrelodones,19,Mono de rayas de Bershka.,Usado dos veces. Perfecto estado.,12,S / 36 / 8,Bershka,Muy bueno,"4,00 €",1,2
ainara2424,,2,Pantalones Nike Chándal,"Usado tres veces,talla M 10 12 años ",186,M,Nike,Muy bueno,"5,00 €",3,31
letiares1994,Ponferrada,3,Top de Zara,Usado de una vez. Queda ajustado al cuerpo,751,M / 38 / 10,Zara,Muy bueno,"4,00 €",2,63
inees.sj,Torrelodones,19,Sudadera fosforita GAP,"Usada muy poco. En perfecto estado.
Original Americana.",17,XS / 34 / 6,GAP,Muy bueno,"4,00 €",11,3
diana.kz,,1,Riñonera ,Como nuevo ,20,,no tiene,Muy bueno,"5,00 €",1,2
anabelminfer,,3,Camiseta con encaje en los hombros de Stradivarius ,Usado una vez,24,M / 38 / 10,Stradivarius,Nuevo sin etiquetas,"2,00 €",4,4
andreaatd,Santander,55,Camiseta tirantes,"sin extrenar, con etiqueta",13,M / 38 / 10,Tezenis,Nuevo con etiquetas,"4,00 €",1,0
taniafernandez3,,108,Falda con estampado con etiqueta ,"Está nueva, con etiqueta ",31,S / 36 / 8,Zara,Nuevo con etiquetas,"14,00 €",5,8
carolinacuesta1975,Gijon,14,Bolso Bimba y Lola,Bolso piel Bimba y Lola; para llevar de mano o para colgar ,233,,Bimba y Lola,Muy bueno,"15,00 €",1,20
lolafloresmo,Málaga,1,Sudadera,Genial para combinarlo con vaqueros o para ir al gym ,114,L / 40 / 12,Pull & Bear,Muy bueno,"5,00 €",24,16
crismavi83,Alicante,1,Zapatos Zara verde,"zapatos de Zara verdes con muy poco uso, 2 veces.",117,39,Zara,Muy bueno,"10,00 €",10,13
iescribano,Andalucía,12,Short verde,Pantalon corto fluido.,4,M / 38 / 10,Mango,Muy bueno,"5,00 €",10,2
nnereaaa,,2,Top negro de Bershka,"Top negro, talla S y en buen estado.",23,S / 36 / 8,Bershka,Bueno,"4,00 €",1,2
joseantonioespi,Sevilla,6,Americana Milano negra,"Americana Milano negra con solamente una puesta, talla L-XL",5,L,milano,Nuevo sin etiquetas,"20,00 €",1,0
saralivi,,94,Zuecos ,Zuecos de madera y piel en marron,29,37,Zendra,Bueno,"12,00 €",2,2
saioa8,Bilbao,62,Camisa tommy hilfinger ,Camisa larga,12,S / 36 / 8,Hilfinger,Muy bueno,"9,00 €",5,0
thai22,Daimus,1,Vestido raso Formula Joven,Vestido si estrenar.,89,XL / 42 / 14,Formula joven,Nuevo con etiquetas,"10,00 €",9,5
acaymo.f,,1,Zapatos,Poco usado ,17,42,Sin Marca,Bueno,"3,00 €",16,0
irenemedio,,5,"Zapato destalonado, número 39","Zapato de tacón bajo, negro acharolado destalonado. Número 39, usados una única vez. ",15,39,Mango,Muy bueno,"10,00 €",1,4
asu47345,,3,Zapatillas Puma basket,"Vendo zapatillas puma basket en color rosa, muy poco usadas. Talla 40",40,40,Puma,Muy bueno,"10,00 €",24,6
bony1962,España,2,Cuñas de corcho,Cuñas de color camelia y plataforma de corcho.La altura de la cuña es de 7 cm,42,37,Marila,Nuevo sin etiquetas,"10,00 €",2,0
matiraya,Granada,4,Zapatillas Puma,Zapatillas puma Argentina rojas. Marca en dorado,21,39,Puma,Bueno,"8,00 €",7,0
lolimolina2690,Madrid,3,Zuecos de trabajo talla 39,"Zuecos para trabajar, talla 39 ,nuevos",161,39,,Nuevo sin etiquetas,"5,00 €",12,21
bony1962,España,2,Sandalias de cuña de corcho,Sandalias blancas de cuña de corcho. La cuña mide por el talón 7cm. Son nuevas,25,37,Marila,Nuevo con etiquetas,"10,00 €",12,3
mirtasc,,2,Bolso mustang ,"Bolso rectangular. Estampado. 38cm de ancho.  Usado muy poco, casi nuevo.",42,,Mustang,Bueno,"5,00 €",2,8
nuriajs,,70,Short h&m,"Short pijama o deporte, talla XS de H&M.",6,XS / 34 / 6,H&M,Nuevo sin etiquetas,"3,00 €",9,0
matiraya,Granada,4,Zapatos negros ,"Zapatos nuevos a estrenar, tipo zueco con suela de caucho, no pesan, y tachas. Tacón de 5,5 cms",40,39,Zara,Nuevo con etiquetas,"14,00 €",1,7
mgsma,,2,Mochila Totto pequeña,Mochila Totto tamaño pequeño utilizada un curso y en buen estado. ,55,,Totto,Muy bueno,"15,00 €",15,2
anablmte,La Union,42,Falda de licra de cuadros,Falda de Stradivarius de licra en cuadros blancos y negros ,9,M / 38 / 10,Stradivarius,Muy bueno,"4,00 €",1,2
glomarort,,3,Vestido largo ,Usado en una ocasión,1437,M / 38 / 10,Vintage,Muy bueno,"5,00 €",5,5
rosaemare,Bobadilla (Estacion),26,Camisa/Blusa Bordada Zara,Nueva con etiquetas. Muy bonita. La vendo porque finalmente necesité la talla M.,100,S / 36 / 8,Zara,Nuevo con etiquetas,"15,00 €",15,26
perroflauta,Valdemaqueda,1,Botines de primavera color frambuesa. Poco uso,Botines de Zara talla 38 color frambuesa. Poco uso,39,38,Zara,Bueno,"10,00 €",5,0
vonika.mf,Tarancón,2,Mono con estampado floral diKSi,"Mono corto. Estampado floral. muy cómodo.
Cremallera lateral izquierda y con bolsillos.
La parte del pantalón lleva forro interior",20,M / 38 / 10,diksi,Muy bueno,"7,00 €",15,3
lafernes,,2,Vestido Mango,"Vestido de Mango sin usar, con etiqueta puesta!
Manga corta y detalles de flores, talla L
",119,L / 40 / 12,Mango,Nuevo con etiquetas,"8,00 €",2,8
luciaollo,Pasai Antxo,3,Pantalones vaqueros de Zara ,"Son unos pantalones vaqueros de Zara kids, la talla es 9-10/140cm",108,10 años/ 134-140 cm,Zara,Muy bueno,"3,50 €",27,15
antoniowinsan,,3,Pack de 2 Slips Hugo Boss,Pack de 2 Slips Hugo Boss (el tercero lo estrené yo y me lo quedo). Talla S. Sin estrenar. Para chicos con una talla 34-36 de pantalón,146,S,Hugo Boss,Nuevo con etiquetas,"15,00 €",3,3
yesi2504,Fuenlabrada,4,Vestido ,Nuevo.,8,L / 40 / 12,el corte ingles,Nuevo con etiquetas,"10,00 €",2,1
marisanfi,"Botigues De Sitges, Les (Sitges)",16,Zapatillas ,poco uso,20,37,Adidas,Muy bueno,"14,00 €",26,4
marcsdt,Barcelona,6,Chancletas Toms,"En excelente estado,como nuevas.
",20,45,Toms,Muy bueno,"15,00 €",2,1
inesmarinb,Bilbao,3,Chaleco verano,"Vendo este chaleco de punto de color rosa, blanco y azul. parece naranja pero es por la luz. Talla S/M",11,S / 36 / 8,The extrême collection,Bueno,"10,00 €",5,0
tarano17,,2,New balance 247,zapatillas puestas dos veces. numero 41.5. 8US. ,77,42,New Balance,Muy bueno,"25,00 €",4,4
noeliaomnia,Talavera de la Reina,29,Falda Pepe jeans ,falda Pepe jeans con bolsillos laterales ,12,XS / 34 / 6,Pepe Jeans,Bueno,"3,00 €",24,2
noeliaomnia,Talavera de la Reina,29,Falda Bershka ,falda vaquera Bershka muy corta ,9,XS / 34 / 6,Bershka,Muy bueno,"2,00 €",26,1
claudy_s,,3,Botas,Bota roja,40,38,Stradivarius,Muy bueno,"5,00 €",7,1
laia_1992,,1,Camisa blanca Stradivarius,Usado una vez,35,M,Stradivarius,Muy bueno,"3,00 €",12,1
lucia0177,Roquetas de Mar,22,pulseras xioami,PULSERAS COLOR ORO Y PLATA NUEVAS XIAOMI BAND 3-4,37,,,Nuevo sin etiquetas,"8,00 €",13,5
rafaelaextremera,Martorell,2,Ofertas 4 unidades vestidos de verano ,Vestidos de verano 1 sin usar los otros poco uso muy buen estado ,25,M / 38 / 10,varias,Muy bueno,"7,00 €",15,0
lourdesvallejo,Torremolinos,2,Camisa,Poco uso,62,L / 40 / 12,Stradivarius,Bueno,"5,00 €",23,5
mariia80564,,41,Bikini azul ,No usado ,16,M / 38 / 10,,Nuevo sin etiquetas,"3,00 €",9,2
antoniovegapalomas,Valencia,2,Libros varios,Libros buen estado de autoayuda,4,,,Bueno,"2,00 €",,0
glamourychic,Fuengirola,22,Blusa bambula ,"Muy bohemia esta blusa marrón de bambula. Ancha, con manga corta y hombros descubiertos, tirante fino y laza al brazo. Perfecta para un look bohemian chic este verano, muy sexy!",8,Talla única,H&M,Muy bueno,"4,00 €",2,0
jeusuuu,,1,Chanclas nike,Esta en mu buen estado usadas 2 o 3 veces ,54,42.5,Nike,Muy bueno,"15,00 €",1,7
nestrada2087,Castelló de la Plana,3,Cancán blanco,Cancán para vestido de novia. Blanco. Nuevo. Un uso. sujeta a la perfección. Cómodo.,79,XS / 34 / 6,ROSA CLARA,Muy bueno,"100,00 €",12,1
makitapanciverde,Albacete,1,Camisa de tirantes,"Camisa de lino grueso con tirantes anchos y tiras laterales q se atan atrás. Lleva una cremallera lateral que permite ponerse y quitarse la camisa muy cómodamente. Va ajustada al pecho y suelta en la tripa, podría servir incluso como prenda premamá porque va muy ancha de la cintura, aunque no es una prenda premamá. Por detrás, deja ver la espalda abierta en modo triángulo, pero no demasiado, no se ve el sujetador.",546,M / 38 / 10,Mango,Muy bueno,"5,00 €",3,34
marycs105,Santa Marta de Tormes,11,Pantalón corto rayas niña 6años ,"Fresquito y cómodo con goma en la cintura y pinzas con una florecita que hacen que parezca una faldita, muy chula puesta.",0,6 años / 110-116 cm,Desconocida,Muy bueno,"1,00 €",12,0
patricia6384,"Felguera, La (Langreo)",16,Top corto con adornos de tienda mango,"Poco uso, poca talla ",46,S / 36 / 8,Mango,Muy bueno,"6,50 €",7,6
tonychoquero,Bollullos Par del Condado,2,Adidas multitacos talla 43,Solo me las he puesto dos veces,10,43,Adidas,Muy bueno,"25,00 €",3,1
carmenes1,,1,chaqueta pull and bear,"usado una vez,talla M",80,M / 38 / 10,Pull & Bear,Nuevo sin etiquetas,"5,00 €",1,3
jessicanavasmarcos,Fuenlabrada,31,Zapatillas bebé,Seminuevas,47,22,Nike,Muy bueno,"5,00 €",12,1
jessicanavasmarcos,Fuenlabrada,31,Zapatos bebé ,Prácticamente nuevos,29,22,Biomecanics,Muy bueno,"8,00 €",23,1
soraya_add,,1,Cazadora con lunares,"esta como nuevo, usado solo un par de veces",59,M / 38 / 10,Zara,Nuevo sin etiquetas,"8,00 €",9,6
hamzamotiveaction,,2,Chaqueta nike roja ,Un poko usada pero en un buen estado ,293,M,Nike,Bueno,"20,00 €",7,36
rocioestepaa,Villaverde Del Rio,19,Camiseta oversize,"Camiseta oversize Bershka
Talla:M
Perfecto estado
",55,M / 38 / 10,Bershka,Muy bueno,"1,50 €",4,5
rocioestepaa,Villaverde Del Rio,19,Camisa lefties ,"Camisa lefties
Talla: S
Perfecto estado",13,S / 36 / 8,lefties,Muy bueno,"2,00 €",12,1
manuelgrande,,1,Sudadera pull and bear,"ha sido utilizado varias veces pero se encuentra en buenas condiciones, es talla M .",81,M,Pull & Bear,Bueno,"5,00 €",7,15
anajiliya,Valdepeñas De Jaen,9,Shorts de deporte ,"pantalón corto deportivo, nuevo con etiqueta",117,L / 40 / 12,Decathlon,Nuevo con etiquetas,"5,00 €",1,16
lorevi23,,3,Botas mustang,botas mustang ,29,41,Mustang,Bueno,"12,00 €",1,2
hamzamotiveaction,,2,Chaqueta nike roja ,Un poko usada pero en un buen estado ,293,M,Nike,Bueno,"20,00 €",7,36
rocioestepaa,Villaverde Del Rio,19,Camiseta oversize,"Camiseta oversize Bershka
Talla:M
Perfecto estado
",55,M / 38 / 10,Bershka,Muy bueno,"1,50 €",4,5
rocioestepaa,Villaverde Del Rio,19,Camisa lefties ,"Camisa lefties
Talla: S
Perfecto estado",13,S / 36 / 8,lefties,Muy bueno,"2,00 €",12,1
manuelgrande,,1,Sudadera pull and bear,"ha sido utilizado varias veces pero se encuentra en buenas condiciones, es talla M .",81,M,Pull & Bear,Bueno,"5,00 €",7,15
anajiliya,Valdepeñas De Jaen,9,Shorts de deporte ,"pantalón corto deportivo, nuevo con etiqueta",117,L / 40 / 12,Decathlon,Nuevo con etiquetas,"5,00 €",1,16
lorevi23,,3,Botas mustang,botas mustang ,29,41,Mustang,Bueno,"12,00 €",1,2
rocioestepaa,Villaverde Del Rio,19,Funda iPhone 6 Plus,"funda iPhone 6 Plus en perfecto estado. 


",11,,iPhone,Muy bueno,"1,50 €",4,0
abraham.arancibia,,1,Chanclas   con diseños ,Nuevo  ,43,39,Sin Marca,Nuevo con etiquetas,"10,00 €",24,4
paulaarnandis,,4,Zapatillas Fila,"zapatillas Fila, color negro suela blanca, talla 41, usadas solo un par de veces. 
perfecto estado. ",39,41,FILA,Muy bueno,"20,00 €",1,7
javier275,Caceres,8,Zapatillas Nike air force 1,"usado, en buen estado",168,37.5,Nike,Bueno,"12,00 €",12,6
ina24700,,1,Zapato March Marypaz,Nuevo,22,36,Marypaz,Nuevo con etiquetas,"10,00 €",1,1
nuriacamacho,El Ejido,1,Camiseta por el hombro con volante ,"Está en perfecto estado, la compré y quité etiquetas pero no llegué a ponérmela",11,Talla única,Bershka,Nuevo sin etiquetas,"4,00 €",12,1
ainhoa280901,Móstoles,3,Pantalón bershka ,poco uso,26,XS / 34 / 6,Bershka,Muy bueno,"4,00 €",9,3
ainhoa280901,Móstoles,3,Top ganchillo,nuevo,242,S / 36 / 8,,Muy bueno,"1,00 €",4,20
maialenilundain,Pamplona,4,zapatillas slip-on blancas,"zapatillas blancas de zara, totalmente nuevas (con la etiqueta) y de la talla 37",145,37,Zara,Nuevo con etiquetas,"10,00 €",12,29
annablair,,1,Botas El Dantes ,Botas El Dantés de piel. Poco uso. Talla 38.,58,38,El Dantes,Muy bueno,"20,00 €",1,4
inma290569,Malaga,8,Sandalias negras talla 39 de Mango,"Están en perfecto estado, prácticamente nuevas. ",144,39,Mango,Muy bueno,"10,00 €",1,15
nataalia10,,20,Volvemos!,"Nuevo, bonito y elegante para todo tipo de momentos.",26,S / 36 / 8,Zara,Muy bueno,"1,00 €",1,0
inma290569,Malaga,8,Sandalias talla 39 Pull & Bear verde aguamarina piel,"La tira es de plástico y la plantilla de piel. Talla 39. Son de Pull & Bear. Están en muy buen estado, casi nuevas. Muy bonitas.",83,39,Pull & Bear,Muy bueno,"3,00 €",17,9
14g,Collado Villalba,3,Vestido vintage estampado geométrico ,"Vestido estilo vintage estampado geométrico, sin usar, queda muy bien puesto, es de licra y talla única.",2,Talla única,Vintage,Nuevo con etiquetas,"10,00 €",1,0
hindserbouti,,0,Productos cosméticos,"Hola chicas y chicos, hombres y mujeres tengo la solución para comprar productos de calidad y con un buen precio. Si quieres vender tu también puedes hacerlo y trabajar con Oriflam y ganar mucho dinero y muchos regalos.",42,,oriflame,Nuevo con etiquetas,"1,00 €",,3
14g,Collado Villalba,3,Pulsera Loewe you,"Pulsera rosa Loewe you sin usar, perfecto para regalo en su caja original.",27,,Loewe,Nuevo sin etiquetas,"20,00 €",24,2
paulag901,,2,Blusón Sisa de Mango,Sin estrenar ,17,S / 36 / 8,Mango,Nuevo con etiquetas,"10,00 €",9,1
alex.abc,Madrid,2,Reloj Suunto Ambit 2 con GPS ,"Perfecto estado! Suunto Ambit 2 black reloj con GPS integrado, unisex. Sumergible hasta 100 metros, barómetro, termómetro, brújula, cronómetro. Para todo tipo de deportes!",125,,suunto,Muy bueno,"100,00 €",1,3
rocioo.01,Sevilleja De La Jara,1,bts photocards,"¡cualquier duda al privado!🙇🏻‍♀️💗

vendidas: Tae answer E, Jk her E, Jimin her E
(Tae her e reservada, Tae dark&wild reservada)

#bts #kpopphotocard #kpop #photocard ",383,Talla única,bts,Muy bueno,"10,00 €",1,36
bertahernandz,Sabadell,3,Tp con tirantes de pull & bear,top nuevo pero sin etiqueta solo usado 1 vez,48,M / 38 / 10,Pull & Bear,Nuevo sin etiquetas,"5,00 €",12,20
saracatalan,San Fernando de Henares,56,Vestido cuadros ,"Bonito vestido cuadros tipo vichy. Nuevo con etiqueta, ideal para ponértelo como muestra en las fotos con un jersey debajo, queda monisimo.",9,M / 38 / 10,,Nuevo con etiquetas,"10,00 €",3,1
kafedelate,,2,Polo Breshka sunshine,"producto usado pocas veces, se vende debido a su falta de uso, impecable. Debido al COVID-19, el producto se lavará previamente al empaquetamiento. ",38,XL,Bershka,Muy bueno,"4,00 €",8,1
monikna,Ourense,3,calcetines gordos,"Calcetines de abrigo de Oysho, talla M, perfectos para el invierno. Están nuevos con etiqueta.",53,,OYSHO,Nuevo con etiquetas,"4,00 €",3,2
monikna,Ourense,3,Calcetines gordos,"Calcetines de abrigo de Oysho, talla M, perfectos para el invierno. Están nuevos con etiqueta.",19,,OYSHO,Nuevo con etiquetas,"4,00 €",7,2
hannaait96,,2,Zapatos tacón ,zapatos y sandalias ,32,36,Desconocida,Muy bueno,"5,00 €",1,5
monikna,Ourense,3,calcetines gordos,"Calcetines de abrigo de Oysho, talla M, perfectos para el invierno. Están nuevos con etiqueta.",14,,OYSHO,Nuevo con etiquetas,"5,00 €",24,0
maceeras10,,3,Zapatos Adidas de Paseo,"Zapatillas en buen estado, los he utilizado poco y están muy bien cuidados.
",45,40,Adidas,Muy bueno,"15,00 €",3,3
